Number	Str_ID	Assays	Transcripts	Genes	Tissues	Cell	Condition	Dornor	Organism	Source	Inclusion
1	Xenium_V1_hLung_cancer_section_outs	Xenium	25,774,030	377	Lung	150,365	Lung  Cancer	1	Human	https://www.10xgenomics.com/datasets/human-lung-cancer-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
8	Xenium_Preview_Human_Non_diseased_Lung_With_Add_on_FFPE_outs	Xenium	23,994,997	392	Lung	295,883	Healthy	1	Human	https://www.10xgenomics.com/datasets/xenium-human-lung-preview-data-1-standard	y
9	Xenium_Preview_Human_Lung_Cancer_With_Add_on_2_FFPE_outs	Xenium	67,334,982	392	Lung	531,165	Lung  Cancer	1	Human	https://www.10xgenomics.com/datasets/xenium-human-lung-preview-data-1-standard	y
10	Xenium_V1_FFPE_Human_Brain_Healthy_With_Addon_outs	Xenium	6,011,583	319	Brain	24,406	Healthy	1	Human	https://www.10xgenomics.com/datasets/xenium-human-brain-preview-data-1-standard	y
11	Xenium_V1_FFPE_Human_Brain_Glioblastoma_With_Addon_outs	Xenium	13,324,742	319	Brain	40,887	Glioblastoma	1	Human	https://www.10xgenomics.com/datasets/xenium-human-brain-preview-data-1-standard	y
12	Xenium_V1_FFPE_Human_Brain_Alzheimers_With_Addon_outs	Xenium	14,006,920	354	Brain	44,955	Alzheimer's Disease	1	Human	https://www.10xgenomics.com/datasets/xenium-human-brain-preview-data-1-standard	y
13	Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_outs	Xenium	77,995,296	380	Breast	576,963	Breast Cancer (IDC)	1	Human	https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-with-custom-add-on-panel-1-standard	y
14	Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs	Xenium	23,926,081	474	Pancreas	190,965	pancreatic cancer	1	Human	https://www.10xgenomics.com/datasets/pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
15	Xenium_V1_human_Pancreas_FFPE_outs	Xenium	7,170,423	377	Pancreas	140,702	Healthy	1	Human	https://www.10xgenomics.com/datasets/ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard	y
16	Xenium_V1_hTonsil_reactive_follicular_hyperplasia_section_FFPE_outs	Xenium	76,442,046	377	Tonsil	1,349,620	Reactive follicular hyperplasia	1	Human	https://www.10xgenomics.com/datasets/human-tonsil-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
17	Xenium_V1_hTonsil_follicular_lymphoid_hyperplasia_section_FFPE_outs	Xenium	59,177,361	377	Tonsil	864,388	Follicular lymphoid hyperplasia	1	Human	https://www.10xgenomics.com/datasets/human-tonsil-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
18	Xenium_V1_hSkin_nondiseased_section_1_FFPE_outs	Xenium	2,113,721	377	Skin	68,476	Healthy	1	Human	https://www.10xgenomics.com/datasets/human-skin-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
19	Xenium_V1_hSkin_nondiseased_section_2_FFPE_outs	Xenium	1,797,665	377	Skin	90,106	Healthy	1	Human	https://www.10xgenomics.com/datasets/human-skin-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
20	Xenium_V1_hLiver_nondiseased_section_FFPE_outs	Xenium	21,208,519	377	Liver	239,271	Healthy	1	Human	https://www.10xgenomics.com/datasets/human-liver-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
21	Xenium_V1_hLiver_cancer_section_FFPE_outs	Xenium	21,223,431	377	Liver	162,628	Liver cancer	1	Human	https://www.10xgenomics.com/datasets/human-liver-data-xenium-human-multi-tissue-and-cancer-panel-1-standard	y
