gene,pval,pval_adj,logfoldchanges,cluster
LTB,8.041650329140613e-62,4.824990197484367e-59,8.078968,0
NPM1,4.546445746581225e-46,1.81857829863249e-43,4.055139,0
SELL,7.451589865827636e-42,2.2354769597482906e-39,3.5625405,0
YBX1,1.5987455535745818e-29,3.8369893285789965e-27,2.4030402,0
IER2,1.065352437944658e-28,2.130704875889316e-26,3.136789,0
PLAC8,3.8759559532967096e-28,6.644495919937216e-26,2.3872786,0
HNRNPA1,2.642858946761171e-24,3.964288420141756e-22,3.3806407,0
JUND,1.348536186242188e-23,1.7980482483229172e-21,2.3389137,0
LYZ,1.4048572276830443e-21,1.5325715211087755e-19,2.3101737,0
FOSB,1.2768187103376114e-21,1.5321824524051337e-19,2.7387605,0
S100A8,6.145578676437943e-20,5.6728418551734854e-18,2.41007,0
CD52,2.151123615636298e-18,1.7208988925090382e-16,4.0861263,0
S100A9,1.8676806156288645e-18,1.6008690991104552e-16,1.9044355,0
ACTG1,2.5994972260218853e-17,1.949622919516414e-15,4.303857,0
FTL,4.704965305690885e-16,3.3211519804876835e-14,3.155937,0
PA2G4,3.66497083547664e-12,2.198982501285984e-10,1.3577465,0
PTMA,6.813107155334617e-11,3.716240266546155e-09,4.5482206,0
VSIG1,4.487164626736112e-11,2.564094072420635e-09,3.9069135,0
GYPC,5.970515313532731e-10,3.115051467930121e-08,1.132058,0
CCR7,7.41119573378193e-10,3.7055978668909645e-08,1.7009041,0
AIF1,1.907893989711517e-09,9.157891150615282e-08,1.66206,0
PPP1R14B,2.8565716506361994e-09,1.318417684909015e-07,2.7005725,0
S100A12,4.061809130074059e-09,1.8052485022551376e-07,24.975714,0
CHI3L2,7.981651101218129e-09,3.4207076148077696e-07,3.2864602,0
TKT,1.1036828516200865e-08,4.414731406480346e-07,1.1550175,0
PASK,1.9066788404070172e-08,7.380692285446519e-07,1.6660641,0
FXN,2.4657036510319353e-08,9.246388691369757e-07,2.2329264,0
NME4,2.685654722584961e-08,9.766017173036222e-07,2.01556,0
DUT,6.473056993002583e-08,2.219333826172314e-06,1.1146332,0
CMTM8,7.652164303823017e-08,2.4817830174561135e-06,1.9901901,0
TRAP1,7.210439110234671e-08,2.403479703411557e-06,2.4171717,0
NEAT1,8.395750926219023e-08,2.651289766174428e-06,1.4902556,0
VIM,1.08890759509403e-07,3.3504849079816306e-06,2.4958575,0
HMGB1,2.4344482892566297e-07,7.303344867769889e-06,1.0816131,0
BRI3,3.529234950341641e-07,1.0329468147341389e-05,1.5722339,0
GLRX5,4.815829573333521e-07,1.3759513066667202e-05,1.4962066,0
CCT2,5.427134581381155e-07,1.5145491855017176e-05,1.1739441,0
TUBB,1.0794157711921358e-06,2.878442056512362e-05,0.98625004,0
LIMS1,1.736726938728961e-06,4.4341964393079854e-05,1.146216,0
AP1S2,2.9276537436422098e-06,6.888597043864023e-05,1.1002539,0
HMGA1,3.0886411341542814e-06,7.109317549954073e-05,1.0403663,0
