gene,pval,logfoldchanges,cluster
LTB,8.041650329140613e-62,8.078968,0
NPM1,4.546445746581225e-46,4.055139,0
SELL,7.451589865827636e-42,3.5625405,0
YBX1,1.5987455535745818e-29,2.4030402,0
IER2,1.065352437944658e-28,3.136789,0
PLAC8,3.8759559532967096e-28,2.3872786,0
HNRNPA1,2.642858946761171e-24,3.3806407,0
JUND,1.348536186242188e-23,2.3389137,0
LYZ,1.4048572276830443e-21,2.3101737,0
FOSB,1.2768187103376114e-21,2.7387605,0
S100A8,6.145578676437943e-20,2.41007,0
CD52,2.151123615636298e-18,4.0861263,0
S100A9,1.8676806156288645e-18,1.9044355,0
ACTG1,2.5994972260218853e-17,4.303857,0
FTL,4.704965305690885e-16,3.155937,0
PA2G4,3.66497083547664e-12,1.3577465,0
PTMA,6.813107155334617e-11,4.5482206,0
VSIG1,4.487164626736112e-11,3.9069135,0
GYPC,5.970515313532731e-10,1.132058,0
CCR7,7.41119573378193e-10,1.7009041,0
AIF1,1.907893989711517e-09,1.66206,0
PPP1R14B,2.8565716506361994e-09,2.7005725,0
S100A12,4.061809130074059e-09,24.975714,0
CHI3L2,7.981651101218129e-09,3.2864602,0
TKT,1.1036828516200865e-08,1.1550175,0
PASK,1.9066788404070172e-08,1.6660641,0
FXN,2.4657036510319353e-08,2.2329264,0
NME4,2.685654722584961e-08,2.01556,0
DUT,6.473056993002583e-08,1.1146332,0
CMTM8,7.652164303823017e-08,1.9901901,0
TRAP1,7.210439110234671e-08,2.4171717,0
NEAT1,8.395750926219023e-08,1.4902556,0
VIM,1.08890759509403e-07,2.4958575,0
HMGB1,2.4344482892566297e-07,1.0816131,0
BRI3,3.529234950341641e-07,1.5722339,0
GLRX5,4.815829573333521e-07,1.4962066,0
CCT2,5.427134581381155e-07,1.1739441,0
TUBB,1.0794157711921358e-06,0.98625004,0
LIMS1,1.736726938728961e-06,1.146216,0
AP1S2,2.9276537436422098e-06,1.1002539,0
HMGA1,3.0886411341542814e-06,1.0403663,0
ZFP36L1,3.139948584563049e-06,0.95879483,0
MAP2K2,4.848007553238334e-06,1.3326002,0
SSR4,5.140955606428803e-06,0.7593242,0
SERBP1,7.321730674527973e-06,0.85399103,0
SLC40A1,7.029885226491764e-06,1.9027667,0
KLRF1,7.140368834653422e-06,24.117266,0
PHACTR1,7.140368834653422e-06,24.117266,0
LMO7,7.494619726173785e-06,3.1900842,0
METAP2,9.333940319719503e-06,1.0678803,0
SUB1,1.2688154884000281e-05,0.83375067,0
NPC2,1.5355509264226463e-05,0.90555733,0
HMBS,1.3976198761984859e-05,3.0756469,0
PAICS,1.5468310766263558e-05,1.7933683,0
IER5,1.7880441220455677e-05,1.4130825,0
LST1,1.9653557928379162e-05,1.3096371,0
UBAC1,2.0278569943072803e-05,2.0084088,0
ACTB,2.665690096241806e-05,6.5461326,0
CCT6A,3.3966532654652685e-05,0.96754515,0
CD79B,3.430455501123558e-05,1.5960182,0
RAN,3.651575430530655e-05,0.773235,0
HEMGN,3.41087353974734e-05,24.320858,0
SOCS2,3.6463436533391574e-05,1.5903354,0
TMEM14B,4.3213588870462546e-05,0.826964,0
CD36,4.21846787468195e-05,24.117266,0
JUN,5.0139667091523916e-05,2.2977614,0
NME1,5.265480490283253e-05,1.3605788,0
NUP214,6.971175932776081e-05,2.1214204,0
SLIRP,8.058246778602209e-05,0.99568045,0
MKRN1,9.72332264162781e-05,0.91389537,0
UROS,9.795097387005256e-05,1.2256093,0
ECI2,0.00010699207147311448,1.2115651,0
FBLN5,0.00013154302960024063,1.6537964,0
PRR4,0.00013442386385820767,1.8751837,0
HBA1,0.0001562916924649755,23.792728,0
SLC7A7,0.00017612420468446718,23.59878,0
HOXB2,0.0002483038252797035,1.2144461,0
FGR,0.00024356690142665182,2.8164673,0
ISOC2,0.0002544866292155728,1.5980502,0
SLC25A39,0.0002625913341647337,0.9659187,0
NCL,0.0003129692527009687,0.6538299,0
PARD6B,0.0003018119540866647,23.491213,0
RGL4,0.0003465280737884709,1.0860846,0
IFIT3,0.00034446301236913397,24.442457,0
HIST1H4C,0.00041381346238060415,0.97014594,0
S100B,0.00043868622042750414,25.130333,0
IL32,0.000515985372449727,1.7799766,0
REXO2,0.0005217598732456946,0.889156,0
CMBL,0.0005181788047782095,23.375084,0
TMEM176B,0.0005644558537431553,23.698967,0
EGR1,0.0006138888936193188,1.121667,0
FCN1,0.0006362769525980364,1.8979952,0
GSTP1,0.0007103337726288245,0.71456015,0
PRDX2,0.0007591817908843053,0.6417433,0
SLC2A1,0.0007296176108916231,2.1871846,0
GNLY,0.000823167410773441,1.55427,0
EMP2,0.0008916831365980337,23.248901,0
IFIT2,0.0008943749965017004,25.800762,0
SLC25A37,0.001395673044020266,1.2033532,0
PILRA,0.001538626191386764,23.110746,0
RANBP1,0.0018754341964718824,0.6879329,0
MT1F,0.0020874151352398445,1.0824556,0
CTSZ,0.0020706248934327614,1.650637,0
PTCH2,0.0020814143206666913,2.502208,0
METTL13,0.0021943770584859244,1.5958863,0
UROD,0.0023059323638981877,1.1075578,0
MCM7,0.0024193786524546765,1.4998418,0
ZWINT,0.0024925995144138503,2.768508,0
RUVBL2,0.002644765453806808,1.4801468,0
LILRB2,0.0026638491692058293,22.958092,0
CD33,0.0026638491692058293,22.958092,0
CD8B,0.0028995832554939904,1.4546188,0
RNF145,0.003037161191186485,0.88588184,0
HIST1H2AG,0.0030658047046151706,2.4426615,0
HVCN1,0.0031850969114384595,2.502208,0
VCAN,0.0035179349165067905,1.7056204,0
PTP4A3,0.003810396956174485,1.3301156,0
TIMM13,0.0038620249208638343,0.708518,0
FCGR3A,0.003916783194110583,1.8979952,0
MAFB,0.004489787521936375,2.380608,0
EPS8L1,0.0046311170574016595,22.787516,0
TFR2,0.0046311170574016595,22.787516,0
NMNAT3,0.0046311170574016595,22.787516,0
PF4,0.004864839693140279,24.442457,0
ARV1,0.005503639816195679,1.480054,0
TUBA1B,0.005477137955971508,0.635952,0
MYOM2,0.0057288234081476755,1.9856912,0
PPBP,0.005782687193050646,26.156586,0
CCR10,0.007075672204233315,3.0354645,0
PTPRE,0.007562907946638532,1.0477726,0
UTS2,0.007576540433865646,23.248901,0
PCSK1N,0.008046171472407373,2.8164673,0
PTPRS,0.00809339969648748,22.59422,0
CPNE5,0.00809339969648748,22.59422,0
LEPR,0.00809339969648748,22.59422,0
HCK,0.00809339969648748,22.59422,0
MUC20,0.00809339969648748,22.59422,0
TCL1A,0.00809339969648748,22.59422,0
SGCE,0.00809339969648748,22.59422,0
SEC11C,0.008893760357404551,0.64516705,0
JUNB,0.009188474883096182,1.8357755,0
MIF,0.009606941428440067,0.5332592,0
IRF7,0.011345093607258992,0.8734834,0
CCNE1,0.011348842891298984,22.787516,0
GRN,0.011967806919647498,0.7994013,0
RALGPS2,0.01326077311432321,2.2480586,0
CX3CR1,0.014239917071477086,22.371176,0
RBP4,0.014239917071477086,22.371176,0
SPIB,0.014239917071477086,22.371176,0
ADAM23,0.014239917071477086,22.371176,0
CCND1,0.014239917071477086,22.371176,0
FPR1,0.014239917071477086,22.371176,0
BEX1,0.014239917071477086,22.371176,0
TPGS2,0.014559937183876147,0.89115936,0
UBE2S,0.01563223275627846,0.91826427,0
TFDP1,0.016074352984274395,0.8506232,0
CPVL,0.017958650082147642,24.934418,0
COTL1,0.01806105258144444,0.5925072,0
CCNB1,0.019563039822886152,22.59422,0
PYCARD,0.02119666585597605,0.5753167,0
CD14,0.021124668790768204,1.4447006,0
NCOA7,0.022514733357429224,0.69460785,0
IFI6,0.023942372087277803,0.65196365,0
HBB,0.025071761810850083,0.98751223,0
PEG10,0.02528108699779688,22.10749,0
HIST1H2BJ,0.02528108699779688,22.10749,0
ADD2,0.02528108699779688,22.10749,0
CD302,0.02528108699779688,22.10749,0
TBC1D16,0.02528108699779688,22.10749,0
SPAG4,0.02528108699779688,22.10749,0
VPREB3,0.02528108699779688,22.10749,0
KCNH2,0.02528108699779688,22.10749,0
LMO2,0.02528108699779688,22.10749,0
FCRLA,0.02528108699779688,22.10749,0
LRRC25,0.02528108699779688,22.10749,0
TBXA2R,0.02528108699779688,22.10749,0
E2F5,0.02528108699779688,22.10749,0
DMC1,0.02528108699779688,22.10749,0
DKC1,0.02625954094639772,0.74549466,0
MT1E,0.026494022341115652,1.2608209,0
CAV1,0.027353735520979916,2.1770167,0
MT2A,0.028600896986980238,0.7182364,0
MT1X,0.029368380701310075,0.5631294,0
IFIT1,0.029526615149184265,2.1023638,0
FHL2,0.03244777259636265,22.787516,0
RHD,0.03383431865414297,22.371176,0
TNFRSF13B,0.03383431865414297,22.371176,0
PRSS27,0.03383431865414297,22.371176,0
KIF2C,0.03383431865414297,22.371176,0
TWISTNB,0.035890976036404496,0.8160838,0
PRDX4,0.037674960350814066,0.7701602,0
HBA2,0.03829781440160605,1.1248176,0
STXBP2,0.03882311607204124,0.5399168,0
TUBB1,0.03953653890813703,23.375084,0
KCTD12,0.043768720040039816,1.9405947,0
TMEM14C,0.045790543107584444,0.45862678,0
CSF1R,0.045451376018683154,21.784912,0
GATA2,0.045451376018683154,21.784912,0
CYP1B1,0.045451376018683154,21.784912,0
PEBP4,0.045451376018683154,21.784912,0
RBP7,0.045451376018683154,21.784912,0
TGFA,0.045451376018683154,21.784912,0
ITGA2B,0.045451376018683154,21.784912,0
HMOX1,0.045451376018683154,21.784912,0
PAK1IP1,0.05325918961063277,0.9769742,0
PHGDH,0.05480238518620325,1.4993082,0
ISG15,0.056462574969148784,0.534811,0
CDC20,0.05774554135952282,22.371176,0
PTCRA,0.05874897157084857,22.10749,0
MMD,0.05944806248163283,1.0297433,0
STMN1,0.05948629123882378,0.7328804,0
ACSS1,0.059923782245346745,0.75910294,0
RTKN2,0.06035470697610626,1.1637686,0
RNF130,0.06232167244163708,0.9465258,0
