,Str_ID,Cell_left,Mean pairs,Median pairs,Mean transcripts,Total transcripts,progress,partition,Partition_left
0,Xenium_V1_hLung_cancer_section_outs,143122.0,81.85256666666668,43.6,210.65635611576138,30149559.0,100.0%,8,[]
1,Xenium_Preview_Human_Non_diseased_Lung_With_Add_on_FFPE_outs,274110.0,7.954845454545455,1.0,99.74577359454234,27341314.0,78.57142857142857%,14,"[11, 12, 13]"
2,Xenium_Preview_Human_Lung_Cancer_With_Add_on_2_FFPE_outs,516017.0,0,0,171.69328529874016,88596654.0,0.0%,26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3,Xenium_V1_FFPE_Human_Brain_Healthy_With_Addon_outs,NAN,NAN,NAN,NAN,NAN,NAN,26,NAN
4,Xenium_V1_FFPE_Human_Brain_Glioblastoma_With_Addon_outs,NAN,NAN,NAN,NAN,NAN,NAN,26,NAN
5,Xenium_V1_FFPE_Human_Brain_Alzheimers_With_Addon_outs,44806.0,12.0019,8.5,276.1358077043253,12372541.0,66.66666666666666%,3,[1]
6,Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_outs,561705.0,0,0,178.92501401981468,100503075.0,0.0%,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
7,Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs,184619.0,37.35443333333333,12.571428571428571,152.64782606340626,28181689.0,90.0%,10,[2]
8,Xenium_V1_human_Pancreas_FFPE_outs,81253.0,3.8409714285714287,2.0,64.58723985575917,5247907.0,100.0%,5,[]
9,Xenium_V1_hTonsil_reactive_follicular_hyperplasia_section_FFPE_outs,1203307.0,7.508524999999999,3.2,73.31607478390801,88221746.0,72.1311475409836%,61,"[17, 18, 19, 20, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]"
10,Xenium_V1_hTonsil_follicular_lymphoid_hyperplasia_section_FFPE_outs,743379.0,11.15993,2.6666666666666665,91.50308523646754,68021472.0,26.31578947368421%,38,"[3, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
11,Xenium_V1_hSkin_nondiseased_section_1_FFPE_outs,31691.0,4.23215,1.5,60.94610457227604,1931443.0,100.0%,2,[]
12,Xenium_V1_hSkin_nondiseased_section_2_FFPE_outs,21156.0,1.5857,1.0,44.72716959727737,946248.0,100.0%,2,[]
13,Xenium_V1_hLiver_nondiseased_section_FFPE_outs,224474.0,16.123408333333334,7.166666666666667,110.49682368559388,24803664.0,100.0%,12,[]
14,Xenium_V1_hLiver_cancer_section_FFPE_outs,159004.0,39.665380000000006,12.25,171.89341777565343,27331741.0,62.5%,8,"[2, 3, 4]"
15,Xenium_V1_hHeart_nondiseased_section_FFPE_outs,23274.0,4.24125,3.0,87.85748045028788,2044795.0,100.0%,2,[]
16,Xeniumranger_V1_hSkin_Melanoma_Add_on_FFPE_outs,86101.0,62.766859999999994,26.2,181.71087443815983,15645488.0,100.0%,5,[]
17,Xenium_V1_hSkin_Melanoma_Base_FFPE_outs,104026.0,103.43431666666667,71.6,224.2679041778017,23329693.0,100.0%,6,[]
18,Xenium_V1_hColon_Non_diseased_Base_FFPE_outs,221100.0,39.423716666666664,6.636363636363637,123.1806512890095,27235242.0,100.0%,12,[]
19,Xenium_V1_hColon_Non_diseased_Add_on_FFPE_outs,260406.0,42.762275,10.571428571428571,145.62945554249902,37922784.0,57.14285714285714%,14,"[9, 10, 11, 12, 13, 14]"
20,Xenium_V1_hColon_Cancer_Base_FFPE_outs,549583.0,32.128475,6.75,114.56230451087461,62961495.0,28.57142857142857%,28,"[1, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]"
21,Xenium_V1_hColon_Cancer_Add_on_FFPE_outs,541166.0,0,0,144.21309912300478,78043226.0,0.0%,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
22,Xenium_V1_hLung_cancer_section_outs,143122.0,81.85256666666668,43.6,210.65635611576138,30149559.0,100.0%,8,[]
23,Xenium_V1_hLymphNode_nondiseased_section_outs,321423.0,7.253138461538461,2.5,67.14454472766417,21581801.0,76.47058823529412%,17,"[1, 2, 3, 14]"
